CS Stanislaus,79,Academy of Art,69
Adelphi,109,Post,82
Chaminade,71,AK Anchorage,65
American Intl,71,Holy Family,67
Lander,80,Anderson SC,71
Angelo St,90,Metro St,82
Arkansas-FS,86,CSU-Pueblo,83
Arkansas Tech,86,Concordia SP,67
Ark Monticello,71,MN Crookston,64
Dominican NY,63,Assumption,58
Augusta,80,Barton,72
Azusa Pacific,70,CS Poly Pomona,58
Bellarmine,80,Northwood MI,70
Wingate,82,Belmont Abbey,66
Bentley,103,Georgian Court,54
Bloomfield,91,Stonehill,86
Wheeling Jesuit,87,Bowie St,72
Bridgeport,83,Pace,78
Cal Baptist,98,Cal St-LA,69
California PA,88,WV Wesleyan,83
Cameron,80,Oklahoma Chr,69
Carson-Newman,95,S Wesleyan,68
NC Pembroke,91,Catawba,67
TX A&M K'ville,95,Chadron St,63
Clarion,81,Fayetteville St,76
Clark Atlanta,90,Florida Tech,69
Coker,74,Erskine,63
NW Oklahoma St,77,C Oklahoma,60
St Edward's,91,Colorado Chr,78
Col Springs,103,Tarleton St,100
Concord,89,W Salem St,77
Concordia CA,103,CS San Marcos,86
Concordia NY,103,St Anselm,92
Concordia OR,65,CS San Bern.,64
Holy Names,76,CS Dom. Hills,69
C Washington,73,CS Monterey Bay,67
Seattle Pacific,70,CSU East Bay,59
Wilmington DE,78,CW Post,67
Daemen,78,Nyack,60
Dallas Bap,86,Mesa St,62
FL Southern,75,Delta St,67
S New Hampshire,84,Dist Columbia,69
Dixie St,69,UC San Diego,63
Eckerd,82,West Alabama,79
Georgia C&S,95,Emmanuel GA,86
SW Minnesota,70,Emporia St,66
E New Mexico,73,Ft Lewis,72
Fairmont St,92,Millersville,89
Roberts Wslyn,75,Felician,56
Ferris St,70,MO St Louis,46
Sioux Falls,96,Fort Hays St,92
Valdosta St,83,Fort Valley St,81
Franklin Pierce,78,Goldey Beacom,61
W Oregon,123,Fresno Pacific,67
Gannon,79,Shepherd,69
Slippery Rock,75,Glenville St,64
Hawaii Hilo,80,W Washington,76
Minot St,78,Henderson St,50
Hillsdale,74,IL Springfield,63
Indianapolis,100,Saginaw Val,70
Lincoln Mem,94,King TN,60
Lake Superior,96,KY Wesleyan,66
Lees-McRae,119,Tusculum,86
Le Moyne,70,Molloy,51
Union TN,66,LeMoyne-Owen,58
N Michigan,79,Lewis,78
Limestone,106,Mars Hill,92
Lincoln MO,70,OK Baptist,60
Lindenwood,69,MN Duluth,61
Shaw NC,78,Lock Haven,70
Regis CO,89,Lubbock Chr,74
S Indiana,87,Malone,76
Michigan Tech,82,WI Parkside,57
Rogers St,73,Midwest TX St,67
West Georgia,86,Miles,79
Palm Beach Atl,101,Mississippi Col,87
MN Mankato,91,MO Southern,89
S Arkansas,87,Moorhead St,72
Mt Olive,87,Young Harris,84
MT St-Billings,67,Sonoma St,61
NE Oklahoma,75,SE Oklahoma,63
Thomas Aquinas,82,New Haven,81
TX A&M Commerce,74,Newman,69
NM Highlands,85,W New Mexico,81
Tampa,90,North Alabama,81
Queens NC,81,North Georgia,70
Simon Fraser,80,Notre Dame CA,51
Univ Sciences,79,NYIT,67
Pittsburg St,72,St Cloud,62
S Dakota Tech,93,Texas A&M Intl,66
West Liberty,107,Seton Hill,69
Shippensburg,78,Virginia Union,72
SW Baptist,74,SW Oklahoma,63
Truman St,84,Trevecca Naz,73
W Texas A&M,83,Western St CO,63
Ouachita,81,Ark Little Rock,79
Davenport,71,Rockhurst,51
Edinboro,86,Thiel,77
McKendree,88,Principia,63
West Chester,82,Wesley DE,69
AL Huntsville,82,St Leo,80
Charleston WV,77,Cheyney St,41
Francis Marion,78,Lenoir Rhyne,70
West Florida,77,Albany GA,68
AK Fairbanks,97,Hawaii Pacific,90
Montevallo,61,Claflin,52
Newberry,81,North Greenville,69
C Missouri,76,Bemidji St,62
Colorado Mines,67,St Mary's TX,53
St Rose,74,Caldwell,56
Salem WV,92,Kentucky St,77
Grand Valley St,59,Quincy,57
Lee TN,81,Tuskegee,45
Permian Basin,125,Adams St,115
Benedict,86,Auburn M'gomery,75
Pitt-Johnstown,80,Urbana,69
S Francisco St,92,Dominican CA,88
Wm Jewell,113,Purdue Northwest,72
Maryville MO,79,Cedarville,70
Notre Dame OH,99,St Augustine's,95
Virginia St,69,Indiana PA,64
Mercy,89,St Michael's,82
Merrimack,61,T Jefferson,56
Embry-Riddle FL,99,Paine,67
Ald-Broaddus,71,Wayne St MI,58
Point Loma,85,St Martin's,77
Spring Hill,73,Shorter,70
JC Smith,79,UVA-Wise,58
Morehouse,85,Rollins,82
WV State,69,Eliz. City St,61
W Illinois,109,St Mary's MN,68
Oakland City,95,Earlham,83
Blackburn,79,Missouri S&T,74
CS Chico,80,Biola,58
Bluefield WV,76,Lincoln PA,67
Ohio Valley,100,Wright St-Lake,85
Chowan,92,Piedmont Bap,47
Westminster UT,76,J&W CO,66
Boston College,91,S Carolina St,52
Butler,85,Princeton,75
Clemson,87,NC A&T,63
East Carolina,76,Coppin St,50
E Michigan,97,MI Dearborn,73
Stetson,70,Florida Intl,64
Georgetown,73,Jacksonville,57
Harvard,70,Massachusetts,67
Indiana,86,Howard,77
Kentucky,73,Vermont,69
Louisville,72,George Mason,61
Maryland,96,MD E Shore,43
Mercer,110,Toccoa Falls,43
Miami FL,89,Navy,55
NC State,78,Charleston So,56
Northeastern,83,Wentworth Tech,49
Ohio St,82,Radford,72
Penn St,81,F Dickinson,57
Purdue,111,Chicago St,42
Rutgers,71,Central Conn,67
Seton Hall,75,Monmouth NJ,65
Virginia Tech,132,Citadel,93
Hampton,85,Bluefield VA,68
IPFW,114,Defiance,59
SC Upstate,85,Allen,66
N Kentucky,93,Wilmington OH,65
Arkansas,101,Bucknell,73
Creighton,109,Alcorn St,72
Illinois,77,TN Martin,74
Iowa,92,Alabama St,58
Loyola-Chicago,96,Eureka,69
Missouri KC,110,Haskell,59
Le Tourneau,99,Northwestern LA,84
Oklahoma,108,NE Omaha,89
SMU,83,ULM,65
UT San Antonio,92,East Central OK,59
Wisconsin,89,Yale,61
Cent Arkansas,99,Univ Ozarks,51
Lipscomb,77,Morehead St,70
Air Force,65,Texas St,57
Arizona,103,UMBC,78
Boise St,90,Southern Utah,69
UC Irvine,83,Denver,69
California,85,Cal Poly,82
San Diego,81,San Jose St,64
Seattle,121,Puget Sound,70
Stanford,89,Pacific,80
Washington,79,E Washington,69
Washington St,86,TX Southern,84
Hawaii,81,North Dakota,78
Troy,81,Ark Pine Bluff,57
Bridgeport,104,Adelphi,90
Lake Superior,79,Ald-Broaddus,63
Tampa,102,AL Huntsville,96
American Intl,69,T Jefferson,64
Ashland,64,OH Dominican,56
Bentley,112,Concordia NY,65
Le Moyne,70,Caldwell,66
California PA,105,Glenville St,94
Truman St,75,Cedarville,65
Franklin Pierce,91,Dist Columbia,56
E New Mexico,66,NM Highlands,61
Ft Lewis,75,W New Mexico,62
S New Hampshire,74,Goldey Beacom,71
Lake Erie,83,Tiffin,71
Michigan Tech,87,Lewis,80
Maryville MO,86,Trevecca Naz,66
MO Western,77,Upper Iowa,65
N Michigan,83,WI Parkside,68
NW Missouri,71,Northern St SD,60
Post,87,Pace,84
Slippery Rock,67,WV Wesleyan,55
Washburn,84,Winona St,75
Appalachian St,95,Bridgewater VA,57
S Dakota St,78,Mary ND,54
Merrimack,85,Holy Family,69
West Florida,75,Fort Valley St,68
Valdosta St,100,Albany GA,76
St Rose,86,Molloy,75
Thomas Aquinas,86,St Michael's,66
Wayne St MI,90,KY Wesleyan,65
New Haven,73,Mercy,57
St Leo,82,North Alabama,77
St Anselm,71,Georgian Court,48
West Georgia,87,Tuskegee,72
Lee TN,79,Miles,70
Wofford,103,Wash & Lee,66
Hartford,80,Gordon,63
MA Lowell,102,MA Boston,63
Chr Brothers,87,Central St OH,78
Wayne St NE,82,NE Kearney,72
ME Presque Isle,68,Unity,56
Albany NY,88,Boston Univ,74
South Dakota,88,Bowling Green,79
Cincinnati,102,W Carolina,51
Cornell,94,Binghamton,84
Detroit,105,MI Dearborn,82
Florida,116,Gardner Webb,74
Fordham,81,Long Island,68
Ga Southern,77,CS Bakersfield,53
Hofstra,75,Kennesaw,57
Old Dominion,69,James Madison,53
Marshall,83,Southern Univ,74
Michigan,72,C Michigan,65
UNC Asheville,92,Lees-McRae,60
Notre Dame,88,Mt St Mary's,62
Oakland,87,New Orleans,68
La Salle,75,Penn,71
Montana,83,Pittsburgh,78
Minnesota,86,Providence,74
Jacksonville St,94,Richmond,61
FL Gulf Coast,86,Siena,53
South Carolina,78,W Michigan,60
Morgan St,63,South Florida,53
VA Commonwealth,95,North Florida,85
Virginia,93,Austin Peay,49
Xavier,101,Rider,75
Lynchburg,83,Norfolk St,80
ETSU,76,Savannah St,61
IUPUI,75,Anderson IN,43
Brown,79,Quinnipiac,72
Arkansas St,83,Abilene Chr,69
UAB,89,Chattanooga,47
Belmont,69,Vanderbilt,60
Baylor,70,TAM C. Christi,46
DePaul,81,Delaware St,57
Evansville,68,NC Central,55
WI Milwaukee,74,Iowa St,56
Louisiana Tech,96,SE Missouri St,95
McNeese St,101,Ecclesia,54
Mississippi,85,E Kentucky,75
Missouri,99,Wagner,55
MTSU,72,Murray St,67
Nebraska,86,North Texas,67
Northern Iowa,73,Alcorn St,45
Northwestern,75,St Peter's,66
Oklahoma St,83,Charlotte,65
Samford,87,Alabama A&M,68
South Alabama,71,Mobile,49
St Louis,74,Rockhurst,50
TCU,100,Tennessee Tech,63
Tennessee St,92,Reinhardt,53
Tulane,89,SE Louisiana,66
Tulsa,90,Oral Roberts,71
UTRGV,92,Bethune-Cookman,74
Wichita St,81,Col Charleston,63
Incarnate Word,93,Trinity TX,57
Grand Canyon,75,Robert Morris,61
UC Davis,74,N Colorado,59
Utah,91,MS Valley St,51
Utah St,81,Montana St,73
Fresno St,89,CS Northridge,73
Idaho,101,George Fox,62
Nevada,88,Rhode Island,81
Oregon,100,Prairie View,67
Wyoming,75,Oregon St,66
San Francisco,75,St Francis PA,63
St Mary's CA,92,New Mexico St,74
USC,75,N Dakota St,65
North Dakota,80,Ark Pine Bluff,71
Hawaii,72,Troy,67
Cal St-LA,77,Dixie St,75
Drexel,95,Arcadia,81
Hawaii Pacific,81,Corban,73
St Joseph's PA,86,IL Chicago,82
Humboldt St,110,Pacific Union,66
Towson,89,Frostburg St,45
Campbell,108,Columbia Intl,44
Embry-Riddle FL,82,Northern Arizona,70
Col Springs,95,J&W CO,68
Clayton St,106,Carver Bib,78
IL Springfield,92,Harris-Stowe,85
Jamestown,86,Mary ND,76
Walsh,100,Ohio Chr,53
Valparaiso,83,Trinity Chr,46
Army,92,John Jay,43
Boston College,73,Sacred Heart,53
Connecticut,72,Stony Brook,64
Dartmouth,78,Emerson,43
Davidson,108,UNC Wilmington,81
Duquesne,77,VMI,61
Fairfield,64,Loyola MD,52
Florida St,87,G Washington,67
Furman,76,Elon,67
Georgia,74,SC Upstate,65
Monmouth NJ,80,Lehigh,72
Mercer,86,Jackson St,58
Miami OH,73,Wright St,67
NC State,95,Bryant,72
Rutgers,70,Cleveland St,38
St John's,80,Central Conn,55
Syracuse,71,Iona,62
Tennessee,84,High Point,53
Toledo,72,Ohio Northern,62
Villanova,113,Nicholls St,77
Liberty,79,Wake Forest,66
Yale,86,S Carolina St,54
NJIT,96,Lafayette,80
Columbia,87,Longwood,77
Alabama,86,Lipscomb,64
Bradley,61,Delaware,53
